,id,title,release_date,popularity,vote_average,vote_count
136,556574,Hamilton,2020-07-03,18.871,8.17,1444
137,26451,Investigation of a Citizen Above Suspicion,1970-10-16,8.713,8.2,799
138,851644,20th Century Girl,2022-10-06,71.919,8.2,712
139,592350,My Hero Academia: Heroes Rising,2019-12-20,29.302,8.166,1178
140,797,Persona,1966-10-18,15.51,8.165,2182
141,20941,Innocent Voices,2005-01-28,24.43,8.164,493
142,111,Scarface,1983-12-09,70.524,8.162,12023
143,10098,The Kid,1921-01-21,16.292,8.2,2137
144,426,Vertigo,1958-05-28,29.329,8.2,5813
145,348,Alien,1979-05-25,102.656,8.161,15043
146,1422,The Departed,2006-10-04,57.073,8.16,15098
147,489,Good Will Hunting,1997-12-05,70.377,8.16,12585
148,517814,Capernaum,2018-09-20,16.291,8.2,1737
149,289,Casablanca,1943-01-15,36.039,8.2,5530
150,693134,Dune: Part Two,2024-02-27,164.686,8.152,6273
151,1026227,There's Still Tomorrow,2023-10-26,22.459,8.1,1306
152,606856,Togo,2019-12-20,23.75,8.147,2060
153,537061,Steven Universe: The Movie,2019-10-07,24.342,8.147,789
154,399106,Piper,2016-06-16,10.838,8.147,1645
155,37165,The Truman Show,1998-06-04,72.538,8.146,18606
156,810693,Jujutsu Kaisen 0,2021-12-24,44.811,8.1,1451
157,872,Singin' in the Rain,1952-04-09,26.459,8.1,3186
158,475557,Joker,2019-10-01,85.839,8.142,26122
159,20914,My Friends,1975-10-24,7.68,8.1,704
160,81481,Silenced,2011-09-22,19.694,8.138,656
161,422,8½,1963-02-14,11.175,8.137,2312
162,103,Taxi Driver,1976-02-09,59.134,8.1,12438
163,133919,Scenes from a Marriage,1974-09-15,8.963,8.1,353
164,20334,The Shop Around the Corner,1940-01-12,17.538,8.1,737
165,3780,Red Beard,1965-04-03,11.432,8.1,369
166,791373,Zack Snyder's Justice League,2021-03-18,61.667,8.1,10122
167,9702,Bound by Honor,1993-02-05,37.622,8.132,1388
168,1398,Stalker,1979-05-25,28.077,8.129,2221
169,600,Full Metal Jacket,1987-06-26,55.296,8.125,10638
170,406997,Wonder,2017-11-13,39.281,8.124,7920
171,666,Central Station,1998-04-03,12.079,8.1,929
172,614,Wild Strawberries,1957-08-28,11.45,8.1,1660
173,398818,Call Me by Your Name,2017-07-28,62.301,8.1,12187
174,500,Reservoir Dogs,1992-09-02,39.945,8.12,14453
175,280,Terminator 2: Judgment Day,1991-07-03,77.253,8.12,13099
176,795607,Green Snake,2021-07-23,18.135,8.1,314
177,458220,Palmer,2021-01-28,42.687,8.1,1650
178,575813,Better Days,2019-10-25,37.102,8.1,468
179,100,"Lock, Stock and Two Smoking Barrels",1998-08-28,15.945,8.117,6671
180,600354,The Father,2020-12-23,29.645,8.1,3246
181,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,30.589,8.1,5695
182,508442,Soul,2020-12-25,48.171,8.1,10624
183,531428,Portrait of a Lady on Fire,2019-09-18,42.958,8.112,2612
184,55823,The Great War,1959-10-28,6.3,8.1,345
185,470044,The Hate U Give,2018-10-19,19.423,8.111,2136
186,996,Double Indemnity,1944-07-06,13.232,8.112,1829
187,19,Metropolis,1927-02-06,22.294,8.1,2808
188,762975,Purple Hearts,2022-07-29,44.691,8.105,2609
189,843,In the Mood for Love,2000-09-29,57.138,8.105,2821
190,38288,"“The Shorts” by Aldo, Giovanni and Giacomo",1996-03-29,4.235,8.1,348
191,411088,The Invisible Guest,2017-01-06,44.819,8.104,4595
192,698687,Transformers One,2024-09-11,229.95,8.1,1081
193,24382,Big Deal on Madonna Street,1958-07-26,6.878,8.103,711
194,664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,33.957,8.102,1387
195,11659,The Best of Youth,2003-06-22,11.767,8.1,547
196,20532,Sansho the Bailiff,1954-03-31,12.147,8.1,380
197,146233,Prisoners,2013-09-19,66.714,8.098,11965
198,46738,Incendies,2010-09-17,31.893,8.096,2816
199,10681,WALL·E,2008-06-22,82.112,8.1,18995
200,149871,The Tale of The Princess Kaguya,2013-11-23,17.235,8.094,1803
201,38,Eternal Sunshine of the Spotless Mind,2004-03-19,83.505,8.093,15197
202,655,"Paris, Texas",1984-07-16,20.673,8.093,1921
203,239,Some Like It Hot,1959-03-19,23.946,8.093,3526
204,103663,The Hunt,2012-06-13,29.389,8.1,4265
205,11878,Yojimbo,1961-04-25,17.066,8.1,1486
206,12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,107.712,8.089,20813
207,705,All About Eve,1950-11-09,16.71,8.1,1553
208,406,La Haine,1995-05-31,25.893,8.087,4117
209,2457,Children of Paradise,1945-03-15,10.524,8.081,418
210,387,Das Boot,1981-09-17,20.994,8.081,2250
211,831827,Far from the Tree,2021-11-24,7.005,8.1,375
212,755812,"Miraculous World: New York, United HeroeZ",2020-09-25,28.933,8.1,1102
213,663558,New Gods: Nezha Reborn,2021-02-06,56.666,8.1,441
214,518068,Along with the Gods: The Last 49 Days,2018-08-01,23.802,8.1,678
215,832,M,1931-05-11,21.025,8.077,2218
216,439,La Dolce Vita,1960-02-05,26.683,8.1,1887
217,992,Sherlock Jr.,1924-04-17,11.023,8.1,1012
218,872585,Oppenheimer,2023-07-19,123.948,8.1,9822
219,7345,There Will Be Blood,2007-12-26,36.173,8.072,6726
220,437068,A Taxi Driver,2017-08-02,15.82,8.071,1012
221,555604,Guillermo del Toro's Pinocchio,2022-11-09,25.375,8.1,2984
222,397567,Along with the Gods: The Two Worlds,2017-12-20,26.733,8.1,1064
223,21634,Prayers for Bobby,2009-01-24,14.719,8.07,582
224,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019-08-30,20.005,8.1,554
225,359940,"Three Billboards Outside Ebbing, Missouri",2017-12-01,31.899,8.1,10190
226,548,Rashomon,1950-08-26,13.899,8.1,2261
227,8392,My Neighbor Totoro,1988-04-16,48.008,8.069,8096
228,4348,Pride & Prejudice,2005-09-16,60.527,8.1,8119
229,550776,Believe Me: The Abduction of Lisa McVey,2018-09-30,44.061,8.067,630
230,1091,The Thing,1982-06-25,52.102,8.065,7134
231,62,2001: A Space Odyssey,1968-04-02,53.698,8.1,11682
232,334543,Lion,2016-11-24,25.302,8.1,6596
233,42229,A Special Day,1977-08-11,7.527,8.1,665
234,1084736,The Count of Monte Cristo,2024-06-28,163.737,8.045,1418
235,522518,A Dog's Journey,2019-05-03,23.838,8.058,1535
236,11423,Memories of Murder,2003-04-25,39.395,8.1,3904
237,381284,Hidden Figures,2016-12-10,135.206,8.056,9818
238,11645,Ran,1985-06-01,19.411,8.1,1573
239,472454,Ayla: The Daughter of War,2017-10-27,14.377,8.0,364
240,800,The Young and the Damned,1950-12-09,11.158,8.0,491
241,640344,Me Against You: Mr. S's Vendetta,2020-01-17,4.782,8.048,468
242,7347,Elite Squad,2007-10-12,25.713,8.0,2448
243,400608,Bo Burnham: Make Happy,2016-06-03,5.245,8.044,385
244,31439,To Live,1994-05-18,12.206,8.0,321
245,26022,My Name Is Khan,2010-02-10,29.372,8.032,1328
246,785534,Paper Lives,2021-03-12,9.683,8.0,382
247,120467,The Grand Budapest Hotel,2014-02-26,58.546,8.0,14967
248,310569,The Second Mother,2015-06-04,8.249,8.041,734
249,821,Judgment at Nuremberg,1961-12-18,16.879,8.04,810
250,1955,The Elephant Man,1980-10-09,32.198,8.039,3562
251,279,Amadeus,1984-09-19,32.721,8.0,4292
252,582,The Lives of Others,2006-03-23,24.516,8.033,3727
253,106646,The Wolf of Wall Street,2013-12-25,110.122,8.031,24304
254,538362,On My Skin,2018-09-12,8.793,8.031,1858
255,147,The 400 Blows,1959-06-03,12.39,8.0,2165
256,9277,The Sting,1973-12-25,18.969,8.027,2648
257,838240,Robot Dreams,2023-12-06,37.815,8.029,616
258,610461,"Veinteañera, divorciada y fantástica",2020-02-14,5.591,8.0,387
259,638507,How to Train Your Dragon: Homecoming,2019-12-03,38.763,8.022,983
260,400928,Gifted,2017-04-07,46.779,8.0,5569
261,521,Dial M for Murder,1954-05-29,17.668,8.02,2625
262,8422,Rocco and His Brothers,1960-10-07,13.247,8.019,601
263,204,The Wages of Fear,1953-04-22,15.766,8.0,964
264,823754,Bo Burnham: Inside,2021-07-22,8.89,8.0,514
265,307,"Rome, Open City",1945-10-08,9.406,8.016,890
266,515001,Jojo Rabbit,2019-10-18,32.207,8.015,9665
267,43949,Flipped,2010-08-06,28.068,8.0,3057
268,938,For a Few Dollars More,1965-12-18,31.085,8.0,4047
